Date,XLU,XLB,XLI,XLE,XLY,XLP,XLV,XLK,XLF,Cash,Total
2000-Dec-29,0,0,0,0,0,0,0,0,0,100000,100000
2001-Jan-02,6700.94,2037,5673.28,11376.8,3193.36,13050.8,10325.5,-2035.5,27897.7,19897.4,98117.5
2001-Jan-03,6560,2049.12,5919.69,11029.5,3445.31,12450.4,11140.2,-2363.25,29402.8,19897.4,99531.2
2001-Jan-04,6457.5,2117.33,5967.19,10687.5,3494.14,11958.4,11467.3,-2386.97,28885.9,19897.4,98545.8
2001-Jan-05,6393.44,2073.38,5795,10917.3,3378.91,12038,11158.8,-2242.5,28277.8,19897.4,97687.5
2001-Jan-08,6489.53,2079.44,5747.5,10879.9,3333.99,12117.6,10998.3,-2236.03,27988.9,19897.4,97296.5
2001-Jan-09,6518.36,1994.56,5765.31,10660.8,3306.64,12247.8,11134.1,-2285.62,27517.7,19897.4,96757
2001-Jan-10,6502.34,2012.75,5818.75,10730.2,3328.12,12175.5,11220.5,-2354.62,27973.8,19897.4,97304.7
2001-Jan-11,6351.8,1958.19,5890,10847.8,3357.42,11936.7,11473.5,-2453.81,28034.6,19897.4,97293.6
2001-Jan-12,6399.84,1912.72,5872.19,10778.3,3355.47,11922.2,11627.8,-2417.16,27502.4,19897.4,96851.4
2001-Jan-16,6297.34,1976.38,5928.59,10773,3433.59,12088.6,11751.2,-2389.12,27988.9,19897.4,97746.1
2001-Jan-17,6313.36,1965.77,5919.69,10719.6,3386.72,11951.2,11837.7,-2462.44,28034.6,19897.4,97563.5
2001-Jan-18,6425.47,1955.16,5958.28,10516.5,3335.94,12045.2,11800.6,-2591.81,27624.1,19897.4,96966.9
2001-Jan-19,6406.25,1900.59,5895.94,10468.4,3203.12,11951.2,11510.5,-2627.39,27426.4,19897.4,96032.5
2001-Jan-22,6393.44,1915.75,5884.06,10580.6,3324.22,12023.5,11430.3,-2578.88,27912.9,19897.4,96783.4
2001-Jan-23,6387.03,1921.81,5961.25,10746.3,3363.28,12103.1,11695.7,-2622,28186.6,19897.4,97640.5
2001-Jan-24,6396.64,1929.39,5928.59,10735.6,3367.19,12059.7,11584.6,-2654.34,28353.8,19897.4,97598.6
2001-Jan-25,6441.49,1955.16,5925.62,11056.2,3419.92,12312.9,11566.1,-2561.62,28612.3,19897.4,98625.5
2001-Jan-26,6380.62,1935.45,5827.66,10869.2,3382.81,12189.9,11448.8,-2578.88,28718.7,19897.4,98071.7
2001-Jan-29,6480.05,1929.33,5852,10779.8,3450,12088.9,11636.7,-2633.04,28742.4,19897.4,98223.7
2001-Jan-30,6480.05,2002.08,5947,10872.2,3460,12227.8,11613,-2639.25,28995.4,19897.4,98855.7
2001-Jan-31,6420.6,2022.45,5960.3,10988.5,3571.25,12260.2,11541.9,-2573.7,28635.4,19897.4,98724.3
2001-Feb-01,6815.5,503.04,5789.52,15511.1,9015.48,8253.39,10778,-3653.44,26022,19817.9,98852.6
2001-Feb-02,6740.25,501.36,5770.82,15770.2,8844.84,8305.92,10650.6,-3492.72,26092.6,19817.9,99002
2001-Feb-05,6789.7,505.92,5798.87,16088.1,8794.28,8299.74,10643.4,-3471.16,26269.2,19817.9,99536
2001-Feb-06,6830.55,501.6,5826.92,16190.8,8803.76,8336.82,10654.3,-3491.74,25757.1,19817.9,99228
2001-Feb-07,6832.7,501.6,5776.43,16234.8,8822.72,8352.27,10756.2,-3401.58,25695.3,19817.9,99388.4
