Date,ACWIexUS,ACWIexUS #,SP500TR,SP500TR #,USBond,USBond #,Cash,Total
1973-Dec-31,0,0,0,0,0,0,100000,100000
1974-Jan-01,0,0,0,0,98940,970,1060,100000
1974-Jan-02,0,0,0,0,98940,970,1060,100000
1974-Jan-03,0,0,0,0,98940,970,1060,100000
1974-Jan-04,0,0,0,0,98940,970,1060,100000
1974-Jan-05,0,0,0,0,98940,970,1060,100000
1974-Jan-06,0,0,0,0,98940,970,1060,100000
1974-Jan-07,0,0,0,0,98940,970,1060,100000
1974-Jan-08,0,0,0,0,98940,970,1060,100000
1974-Jan-09,0,0,0,0,98940,970,1060,100000
1974-Jan-10,0,0,0,0,98940,970,1060,100000
1974-Jan-11,0,0,0,0,98940,970,1060,100000
1974-Jan-12,0,0,0,0,98940,970,1060,100000
1974-Jan-13,0,0,0,0,98940,970,1060,100000
1974-Jan-14,0,0,0,0,98940,970,1060,100000
1974-Jan-15,0,0,0,0,98940,970,1060,100000
1974-Jan-16,0,0,0,0,98940,970,1060,100000
1974-Jan-17,0,0,0,0,98940,970,1060,100000
1974-Jan-18,0,0,0,0,98940,970,1060,100000
1974-Jan-19,0,0,0,0,98940,970,1060,100000
1974-Jan-20,0,0,0,0,98940,970,1060,100000
1974-Jan-21,0,0,0,0,98940,970,1060,100000
1974-Jan-22,0,0,0,0,98940,970,1060,100000
1974-Jan-23,0,0,0,0,98940,970,1060,100000
1974-Jan-24,0,0,0,0,98940,970,1060,100000
1974-Jan-25,0,0,0,0,98940,970,1060,100000
1974-Jan-26,0,0,0,0,98940,970,1060,100000
1974-Jan-27,0,0,0,0,98940,970,1060,100000
1974-Jan-28,0,0,0,0,98940,970,1060,100000
1974-Jan-29,0,0,0,0,98940,970,1060,100000
1974-Jan-30,0,0,0,0,98940,970,1060,100000
1974-Jan-31,0,0,0,0,98940,970,1060,100000
1974-Feb-01,0,0,0,0,98940,970,1060,100000
1974-Feb-02,0,0,0,0,98940,970,1060,100000
1974-Feb-03,0,0,0,0,98940,970,1060,100000
1974-Feb-04,0,0,0,0,98940,970,1060,100000
1974-Feb-05,0,0,0,0,98940,970,1060,100000
1974-Feb-06,0,0,0,0,98940,970,1060,100000
1974-Feb-07,0,0,0,0,98940,970,1060,100000
1974-Feb-08,0,0,0,0,98940,970,1060,100000
