Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
1998-12-22,25.46875,26.5,23.265619,23.3125,25.03125,23.28125,20.828119,32.046879,29.828119
1998-12-23,25.578119,27.140619,23.75,23.65625,25.59375,23.6875,21.046881,32.8125,29.703119
1998-12-24,26.046881,27.09375,23.625,23.8125,25.75,24.0,21.53125,32.6875,30.25
1998-12-28,25.8125,26.9375,23.5,23.5,25.375,24.125,21.34375,32.78125,30.09375
1998-12-29,26.375,27.53125,23.734381,23.75,25.9375,24.46875,21.734381,32.875,30.59375
1998-12-30,26.15625,27.359381,23.375,23.65625,25.71875,24.359381,21.671881,32.75,30.34375
1998-12-31,26.125,27.15625,23.34375,23.4375,26.0,24.5625,21.921881,32.625,30.234381
1999-01-04,25.96875,26.9375,23.328119,23.4375,25.9375,24.21875,21.65625,33.0,29.75
1999-01-05,26.40625,27.140619,23.203119,23.65625,26.34375,24.71875,22.1875,33.84375,30.109381
1999-01-06,27.15625,27.46875,23.96875,24.40625,26.78125,25.25,22.578119,34.84375,30.421881
1999-01-07,27.125,27.15625,23.859381,24.78125,26.65625,25.03125,22.40625,34.734379,30.3125
1999-01-08,27.15625,27.046881,23.96875,24.9375,26.984381,25.21875,23.171881,34.875,30.484381
1999-01-11,27.015619,26.5,23.515619,24.5625,27.046881,24.984381,23.21875,35.21875,29.671881
1999-01-12,26.3125,26.296881,23.15625,23.875,26.9375,24.6875,22.625,34.265621,29.6875
1999-01-13,26.4375,26.34375,22.8125,23.5625,26.6875,24.0625,22.125,34.25,29.890619
1999-01-14,25.84375,25.84375,22.375,22.96875,26.46875,23.953119,21.75,33.78125,29.390619
1999-01-15,26.171881,26.125,22.71875,23.625,26.828119,24.359381,22.078119,34.78125,29.53125
1999-01-19,26.15625,25.828119,22.71875,23.5,27.59375,24.3125,21.671881,35.984379,30.53125
1999-01-20,26.59375,25.90625,22.53125,23.671881,27.75,24.203119,21.59375,36.3125,30.40625
1999-01-21,26.34375,25.515619,22.71875,23.25,26.78125,24.0,21.5,35.375,30.296881
1999-01-22,26.46875,25.390619,22.59375,23.09375,26.671881,23.53125,21.078119,34.75,30.5
1999-01-25,26.40625,25.328119,22.5625,23.28125,26.890619,23.921881,21.5,35.359379,29.359381
1999-01-26,27.03125,25.921881,22.34375,23.296881,27.015619,23.921881,21.4375,36.78125,29.9375
1999-01-27,27.0,26.265619,21.9375,23.0,26.75,24.109381,21.265619,36.0,29.484381
1999-01-28,27.28125,26.734381,21.8125,23.34375,27.25,24.140619,21.0,37.265621,29.53125
1999-01-29,27.46875,26.796881,21.8125,23.84375,27.25,24.296881,21.109381,37.8125,29.484381
1999-02-01,27.53125,26.6875,21.59375,23.4375,27.40625,24.328119,21.28125,37.84375,29.421881
1999-02-02,27.1875,26.90625,21.625,23.1875,27.0,24.140619,21.296881,37.203121,29.03125
1999-02-03,27.625,26.8125,22.125,23.359381,27.515619,24.375,21.3125,37.46875,29.1875
1999-02-04,27.46875,26.6875,22.25,22.8125,27.3125,24.40625,21.9375,36.1875,28.75
1999-02-05,26.78125,26.28125,22.875,22.625,27.0,24.328119,22.234381,35.3125,28.765619
1999-02-08,27.21875,26.234381,23.1875,22.5625,26.984381,24.40625,22.125,35.90625,28.765619
1999-02-09,26.375,25.765619,22.75,22.25,26.5,24.078119,21.703119,34.5,28.890619
1999-02-10,26.375,25.953119,22.8125,22.4375,26.5625,24.171881,21.75,34.75,28.6875
1999-02-11,27.234381,26.390619,22.625,23.34375,27.28125,24.5,21.53125,36.21875,28.8125
1999-02-12,26.75,26.171881,22.15625,23.0,26.875,24.359381,21.421881,34.78125,28.34375
1999-02-16,27.09375,26.484381,22.0,23.34375,27.125,24.484381,21.21875,34.625,28.859381
1999-02-17,27.0,26.21875,21.78125,23.4375,26.84375,24.484381,21.0,33.84375,28.65625
1999-02-18,27.03125,26.5,21.84375,23.671881,27.1875,24.484381,21.15625,34.03125,29.171881
1999-02-19,27.171881,26.390619,21.71875,23.75,27.265619,24.640619,21.328119,34.34375,28.859381
1999-02-22,27.859381,26.953119,21.9375,24.4375,27.84375,25.015619,21.6875,35.5625,29.796881
1999-02-23,27.71875,26.90625,21.75,24.75,27.796881,25.0,21.5,36.03125,28.859381
1999-02-24,27.375,26.75,21.65625,23.9375,27.46875,24.9375,21.4375,35.03125,29.125
1999-02-25,27.0625,26.4375,21.765619,23.78125,27.203119,24.4375,21.4375,35.125,28.5
1999-02-26,27.296881,26.515619,21.625,24.21875,27.28125,24.515619,21.4375,34.0625,28.671881
1999-03-01,27.3125,26.390619,21.40625,24.3125,27.234381,24.5,21.1875,33.90625,28.25
1999-03-02,27.375,26.3125,21.1875,24.375,27.21875,24.296881,21.0,33.0,27.828119
