Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
1998-12-22,25.3125,25.875,23.3125,23.453119,24.8125,23.203119,20.78125,32.40625,30.25
1998-12-23,25.5,26.796881,23.34375,23.21875,25.1875,23.453119,20.96875,32.75,29.796881
1998-12-24,25.9375,27.140619,23.8125,23.65625,25.625,23.90625,21.296881,32.8125,30.21875
1998-12-28,25.921881,27.140619,23.75,23.796881,25.671881,24.0,21.5,33.1875,30.1875
1998-12-29,25.890619,26.953119,23.5625,23.53125,25.375,24.25,21.734381,32.9375,30.21875
1998-12-30,26.359381,27.53125,23.71875,23.625,26.0,24.453119,21.71875,32.6875,30.75
1998-12-31,26.15625,27.296881,23.34375,23.65625,25.8125,24.359381,21.859381,32.75,30.234381
1999-01-04,26.15625,27.375,23.28125,23.15625,26.25,24.59375,21.9375,32.65625,30.015619
1999-01-05,26.125,27.09375,23.46875,23.34375,26.0,24.46875,21.859381,33.0625,29.984381
1999-01-06,26.71875,27.328119,23.46875,24.09375,26.53125,24.953119,22.328119,34.6875,30.203119
1999-01-07,27.03125,27.265619,23.96875,24.15625,26.53125,25.0625,22.46875,34.5,30.421881
1999-01-08,27.28125,27.15625,24.0,25.0625,26.71875,24.96875,22.609381,35.5,30.40625
1999-01-11,27.25,26.984381,23.75,24.96875,26.96875,25.15625,23.1875,35.875,30.3125
1999-01-12,26.609381,26.484381,23.5,24.4375,27.125,24.859381,23.015619,35.5,29.640619
1999-01-13,25.6875,25.546881,22.75,22.71875,25.78125,24.03125,21.953119,32.0,29.5
1999-01-14,26.1875,26.234381,22.75,23.5,26.78125,24.0,22.1875,34.34375,29.46875
1999-01-15,26.1875,26.0625,22.5625,23.28125,26.5625,24.078119,22.0,34.0,29.5
1999-01-19,26.46875,26.328119,22.8125,24.0,27.28125,24.578119,22.0,35.625,30.4375
1999-01-20,26.53125,25.984381,22.59375,23.75,27.75,24.375,21.671881,36.875,30.5625
1999-01-21,26.53125,25.796881,22.53125,23.46875,27.6875,24.140619,21.59375,36.25,30.625
1999-01-22,25.9375,25.359381,22.75,23.125,26.59375,23.65625,21.28125,34.75,30.09375
1999-01-25,26.34375,25.390619,22.6875,23.21875,26.6875,23.640619,21.296881,35.1875,30.5
1999-01-26,26.5625,25.34375,22.59375,23.375,26.9375,23.921881,21.421881,35.75,29.6875
1999-01-27,27.0625,26.171881,22.375,23.4375,27.09375,24.203119,21.828119,37.25,29.859381
1999-01-28,27.0625,26.296881,22.0,22.9375,27.0,24.03125,21.390619,36.75,29.5625
1999-01-29,27.375,26.8125,21.6875,23.484381,27.28125,24.234381,20.953119,37.375,29.53125
1999-02-01,27.59375,26.984381,21.8125,23.9375,27.375,24.5,21.28125,38.15625,29.65625
1999-02-02,27.3125,26.78125,21.625,23.25,26.96875,24.15625,21.203119,38.0,29.046881
1999-02-03,27.125,26.78125,21.75,23.0625,26.9375,24.140619,21.3125,37.0625,28.875
1999-02-04,27.796881,26.703119,22.125,23.1875,27.34375,24.34375,21.359381,37.75,29.140619
1999-02-05,27.1875,26.6875,22.3125,22.765619,27.3125,24.484381,22.046881,36.0,28.859381
1999-02-08,27.015619,26.21875,22.96875,22.78125,27.125,24.5,22.296881,35.75,28.78125
1999-02-09,26.875,26.171881,23.21875,22.5625,27.0625,24.359381,22.125,36.0,28.828119
1999-02-10,26.34375,25.890619,22.84375,22.3125,26.3125,24.171881,21.859381,34.65625,28.890619
1999-02-11,26.53125,26.046881,22.71875,22.53125,26.46875,24.328119,21.625,35.375,28.765619
1999-02-12,26.875,26.4375,22.375,23.21875,27.125,24.390619,21.5625,35.375,28.953119
1999-02-16,26.984381,26.5,22.328119,23.234381,27.0,24.515619,21.828119,35.75,28.71875
1999-02-17,27.15625,26.46875,21.875,23.4375,27.0625,24.28125,21.125,33.75,28.78125
1999-02-18,27.0,26.3125,21.75,23.5625,26.9375,24.328119,21.046881,34.3125,28.78125
1999-02-19,27.0625,26.453119,21.9375,23.84375,27.1875,24.375,21.234381,34.625,29.015619
1999-02-22,27.25,26.5,21.875,23.9375,27.375,24.65625,21.25,34.59375,28.96875
1999-02-23,27.875,26.984381,22.0,24.609381,27.90625,24.9375,21.734381,36.0,29.53125
1999-02-24,27.90625,27.09375,21.8125,24.84375,27.875,25.15625,21.8125,36.375,28.953119
1999-02-25,27.3125,26.484381,21.640619,23.59375,27.34375,24.578119,21.3125,34.375,28.9375
1999-02-26,27.03125,26.375,21.84375,23.78125,27.3125,24.5625,21.4375,35.0625,28.703119
1999-03-01,27.21875,26.421881,21.671881,24.125,27.21875,24.46875,21.28125,33.625,28.4375
1999-03-02,27.375,26.53125,21.4375,24.5,27.40625,24.5625,21.234381,34.1875,28.4375
1999-03-03,27.40625,26.421881,21.375,24.5,27.3125,24.484381,21.265619,33.5,27.84375
1999-03-04,27.84375,26.359381,21.84375,24.21875,27.4375,24.34375,20.84375,34.375,28.078119
1999-03-05,28.4375,26.6875,23.0,25.625,27.9375,25.046881,21.171881,34.875,28.75
1999-03-08,28.875,27.140619,22.984381,25.3125,28.09375,25.265619,21.4375,35.5,28.640619
1999-03-09,28.71875,27.234381,22.9375,25.1875,27.84375,25.3125,21.65625,35.5,28.46875
1999-03-10,28.875,27.125,23.03125,25.578119,27.9375,25.34375,21.59375,35.3125,28.234381
1999-03-11,29.0,27.140619,25.0,25.875,28.21875,25.40625,21.984381,35.5,28.296881
1999-03-12,29.40625,27.453119,24.875,26.03125,28.53125,25.453119,22.296881,35.5625,28.890619
1999-03-15,29.1875,27.59375,24.5625,26.0,28.4375,25.484381,22.015619,35.1875,28.921881
1999-03-16,29.46875,27.71875,24.09375,26.3125,28.4375,25.484381,22.03125,35.53125,28.78125
1999-03-17,29.09375,27.78125,24.3125,25.5625,28.1875,25.3125,22.078119,36.09375,28.828119
1999-03-18,28.8125,27.21875,25.25,25.28125,27.96875,25.171881,22.140619,35.75,28.4375
1999-03-19,29.46875,27.921881,25.25,26.0625,28.53125,25.3125,22.625,36.6875,28.59375
1999-03-22,29.0,27.484381,25.0,25.4375,28.3125,25.234381,22.234381,35.5,28.203119
1999-03-23,28.53125,27.296881,24.75,25.21875,28.25,25.15625,22.28125,35.25,28.046881
1999-03-24,28.0,26.59375,24.625,24.75,27.46875,24.5625,21.734381,34.6875,27.59375
1999-03-25,28.09375,27.0625,24.3125,25.5,27.90625,24.625,21.84375,35.84375,27.796881
1999-03-26,28.4375,26.765619,24.6875,25.015619,27.921881,24.578119,21.703119,35.8125,27.265619
1999-03-29,28.796881,27.1875,25.375,25.34375,27.9375,25.125,21.984381,36.25,27.390619
1999-03-30,28.875,26.71875,25.28125,25.34375,28.21875,25.0625,22.09375,36.9375,26.9375
1999-03-31,29.1875,27.234381,25.15625,25.25,28.25,25.0625,21.9375,37.5,26.9375
1999-04-01,28.75,26.71875,24.625,24.875,28.0,24.96875,21.78125,37.5,26.796881
1999-04-05,28.75,26.75,24.5625,25.34375,28.4375,25.390619,22.0625,37.625,27.328119
1999-04-06,29.046881,26.421881,25.09375,25.4375,28.75,25.65625,22.140619,38.6875,27.5
1999-04-07,29.328119,26.546881,24.875,25.546881,28.84375,25.71875,22.0,39.5,27.5625
1999-04-08,29.4375,26.34375,24.765619,26.25,29.125,25.59375,22.078119,38.6875,27.78125
1999-04-09,29.875,26.96875,24.921881,26.375,29.5,25.8125,22.09375,38.984379,28.46875
1999-04-12,29.8125,27.0,25.25,26.25,29.28125,25.8125,22.3125,37.625,28.25
1999-04-13,30.625,27.625,25.40625,27.1875,30.4375,26.40625,23.140619,38.5625,28.625
1999-04-14,30.375,27.5,25.5,27.0,30.25,26.765619,23.40625,38.375,28.25
1999-04-15,29.875,26.765619,25.375,26.65625,29.8125,27.5,24.6875,37.3125,27.828119
1999-04-16,29.625,26.15625,26.59375,26.375,29.0,28.0,25.46875,37.1875,28.1875
1999-04-19,30.1875,26.015619,27.875,26.609381,28.9375,28.390619,25.59375,36.5625,28.625
1999-04-20,29.25,25.3125,27.5625,26.28125,28.125,28.46875,25.921881,34.8125,28.65625
1999-04-21,29.625,25.75,26.875,26.5,28.40625,28.1875,25.71875,35.3125,29.0625
1999-04-22,30.09375,26.3125,26.5625,26.8125,29.25,28.109381,25.6875,37.8125,29.390619
