Date,Open,High,Low,Close,Volume,Adj Close
1972-12-31,100.0,100.0,100.0,100.0,0,100.0
1973-01-31,100.0,100.0,100.0,100.0,0,100.0
1973-02-28,100.0,100.0,100.0,100.0,0,100.0
1973-03-31,100.46,100.46,100.46,100.46,0,100.46
1973-04-30,100.46,100.46,100.46,100.46,0,100.46
1973-05-31,100.46,100.46,100.46,100.46,0,100.46
1973-06-30,100.51,100.51,100.51,100.51,0,100.51
1973-07-31,100.51,100.51,100.51,100.51,0,100.51
1973-08-31,100.51,100.51,100.51,100.51,0,100.51
1973-09-30,102.22,102.22,102.22,102.22,0,102.22
1973-10-31,102.22,102.22,102.22,102.22,0,102.22
1973-11-30,102.22,102.22,102.22,102.22,0,102.22
1973-12-31,102.0,102.0,102.0,102.0,0,102.0
1974-01-31,102.0,102.0,102.0,102.0,0,102.0
1974-02-28,102.0,102.0,102.0,102.0,0,102.0
1974-03-31,99.65,99.65,99.65,99.65,0,99.65
1974-04-30,99.65,99.65,99.65,99.65,0,99.65
1974-05-31,99.65,99.65,99.65,99.65,0,99.65
1974-06-30,94.48,94.48,94.48,94.48,0,94.48
1974-07-31,94.48,94.48,94.48,94.48,0,94.48
1974-08-31,94.48,94.48,94.48,94.48,0,94.48
1974-09-30,91.79,91.79,91.79,91.79,0,91.79
1974-10-31,91.79,91.79,91.79,91.79,0,91.79
1974-11-30,91.79,91.79,91.79,91.79,0,91.79
1974-12-31,97.16,97.16,97.16,97.16,0,97.16
1975-01-31,97.16,97.16,97.16,97.16,0,97.16
1975-02-28,97.16,97.16,97.16,97.16,0,97.16
1975-03-31,102.37,102.37,102.37,102.37,0,102.37
1975-04-30,102.37,102.37,102.37,102.37,0,102.37
1975-05-31,102.37,102.37,102.37,102.37,0,102.37
1975-06-30,105.81,105.81,105.81,105.81,0,105.81
1975-07-31,105.81,105.81,105.81,105.81,0,105.81
1975-08-31,105.81,105.81,105.81,105.81,0,105.81
1975-09-30,104.08,104.08,104.08,104.08,0,104.08
1975-10-31,104.08,104.08,104.08,104.08,0,104.08
1975-11-30,104.08,104.08,104.08,104.08,0,104.08
1975-12-31,112.42,112.42,112.42,112.42,0,112.42
1976-01-31,115.09,115.09,115.09,115.09,0,115.09
1976-02-29,116.35,116.35,116.35,116.35,0,116.35
1976-03-31,118.67,118.67,118.67,118.67,0,118.67
1976-04-30,118.61,118.61,118.61,118.61,0,118.61
1976-05-31,117.82,117.82,117.82,117.82,0,117.82
1976-06-30,119.65,119.65,119.65,119.65,0,119.65
1976-07-31,121.2,121.2,121.2,121.2,0,121.2
1976-08-31,123.74,123.74,123.74,123.74,0,123.74
1976-09-30,125.82,125.82,125.82,125.82,0,125.82
1976-10-31,127.08,127.08,127.08,127.08,0,127.08
1976-11-30,130.38,130.38,130.38,130.38,0,130.38
1976-12-31,133.56,133.56,133.56,133.56,0,133.56
1977-01-31,131.01,131.01,131.01,131.01,0,131.01
1977-02-28,131.09,131.09,131.09,131.09,0,131.09
1977-03-31,132.25,132.25,132.25,132.25,0,132.25
1977-04-30,133.77,133.77,133.77,133.77,0,133.77
1977-05-31,135.01,135.01,135.01,135.01,0,135.01
1977-06-30,136.96,136.96,136.96,136.96,0,136.96
1977-07-31,137.42,137.42,137.42,137.42,0,137.42
1977-08-31,139.21,139.21,139.21,139.21,0,139.21
1977-09-30,139.07,139.07,139.07,139.07,0,139.07
1977-10-31,138.52,138.52,138.52,138.52,0,138.52
1977-11-30,139.55,139.55,139.55,139.55,0,139.55
1977-12-31,138.64,138.64,138.64,138.64,0,138.64
1978-01-31,138.05,138.05,138.05,138.05,0,138.05
1978-02-28,138.39,138.39,138.39,138.39,0,138.39
1978-03-31,139.11,139.11,139.11,139.11,0,139.11
1978-04-30,139.09,139.09,139.09,139.09,0,139.09
1978-05-31,138.07,138.07,138.07,138.07,0,138.07
1978-06-30,138.4,138.4,138.4,138.4,0,138.4
1978-07-31,139.99,139.99,139.99,139.99,0,139.99
1978-08-31,142.71,142.71,142.71,142.71,0,142.71
1978-09-30,142.42,142.42,142.42,142.42,0,142.42
1978-10-31,139.83,139.83,139.83,139.83,0,139.83
1978-11-30,141.41,141.41,141.41,141.41,0,141.41
1978-12-31,139.11,139.11,139.11,139.11,0,139.11
1979-01-31,142.17,142.17,142.17,142.17,0,142.17
1979-02-28,140.97,140.97,140.97,140.97,0,140.97
1979-03-31,142.24,142.24,142.24,142.24,0,142.24
1979-04-30,141.78,141.78,141.78,141.78,0,141.78
1979-05-31,144.41,144.41,144.41,144.41,0,144.41
1979-06-30,147.58,147.58,147.58,147.58,0,147.58
1979-07-31,147.81,147.81,147.81,147.81,0,147.81
1979-08-31,148.04,148.04,148.04,148.04,0,148.04
1979-09-30,145.1,145.1,145.1,145.1,0,145.1
1979-10-31,134.96,134.96,134.96,134.96,0,134.96
1979-11-30,137.09,137.09,137.09,137.09,0,137.09
1979-12-31,136.04,136.04,136.04,136.04,0,136.04
1980-01-31,131.15,131.15,131.15,131.15,0,131.15
1980-02-29,121.51,121.51,121.51,121.51,0,121.51
1980-03-31,121.37,121.37,121.37,121.37,0,121.37
1980-04-30,135.9,135.9,135.9,135.9,0,135.9
1980-05-31,143.17,143.17,143.17,143.17,0,143.17
1980-06-30,147.13,147.13,147.13,147.13,0,147.13
1980-07-31,143.45,143.45,143.45,143.45,0,143.45
1980-08-31,136.73,136.73,136.73,136.73,0,136.73
1980-09-30,134.26,134.26,134.26,134.26,0,134.26
1980-10-31,133.28,133.28,133.28,133.28,0,133.28
