Date,Open,High,Low,Close,Volume,Adj Close
1998-12-22,24.8125,25.0625,24.8125,25.03125,5700,19.841614
1998-12-23,25.1875,25.59375,25.1875,25.59375,18100,20.287492999999998
1998-12-24,25.625,25.75,25.515619,25.75,4900,20.411348
1998-12-28,25.671881,25.75,25.375,25.375,15500,20.114095000000002
1998-12-29,25.375,25.9375,25.375,25.9375,5300,20.559974
1998-12-30,26.0,26.03125,25.71875,25.71875,17300,20.386577
1998-12-31,25.8125,26.0,25.75,26.0,6600,20.609516
1999-01-04,26.25,26.375,25.78125,25.9375,249200,20.559974
1999-01-05,26.0,26.34375,26.0,26.34375,4400,20.881998
1999-01-06,26.53125,26.78125,26.46875,26.78125,38500,21.228793
1999-01-07,26.53125,26.6875,26.34375,26.65625,15900,21.129709
1999-01-08,26.71875,26.984381,26.71875,26.984381,24400,21.389809
1999-01-11,26.96875,27.25,26.8125,27.046881,7700,21.439351000000002
1999-01-12,27.125,27.25,26.90625,26.9375,270700,21.352648000000002
1999-01-13,25.78125,26.875,25.78125,26.6875,7100,21.15448
1999-01-14,26.78125,26.859381,26.375,26.46875,12200,20.981082
1999-01-15,26.5625,26.90625,26.5625,26.828119,7700,21.265945000000002
1999-01-19,27.28125,27.65625,27.125,27.59375,22700,21.87284
1999-01-20,27.75,28.125,27.59375,27.75,25800,21.996695000000003
1999-01-21,27.6875,27.6875,26.71875,26.78125,23200,21.228793
1999-01-22,26.59375,26.875,26.40625,26.671881,67100,21.142098999999998
1999-01-25,26.6875,26.90625,26.6875,26.890619,495300,21.315487
1999-01-26,26.9375,27.03125,26.671881,27.015619,187400,21.414571
1999-01-27,27.09375,27.09375,26.75,26.75,6800,21.204022
1999-01-28,27.0,27.34375,27.0,27.25,25800,21.600359
1999-01-29,27.28125,27.28125,26.90625,27.25,13800,21.600359
1999-02-01,27.375,27.46875,27.15625,27.40625,34000,21.724214
1999-02-02,26.96875,27.046881,26.625,27.0,141700,21.40219
1999-02-03,26.9375,27.515619,26.9375,27.515619,38900,21.810907999999998
1999-02-04,27.34375,27.4375,27.125,27.3125,7400,21.649901
1999-02-05,27.3125,27.3125,26.8125,27.0,16900,21.40219
1999-02-08,27.125,27.125,26.875,26.984381,6500,21.389809
1999-02-09,27.0625,27.09375,26.5,26.5,220800,21.005853
1999-02-10,26.3125,26.5625,26.1875,26.5625,17800,21.055395
1999-02-11,26.46875,27.28125,26.375,27.28125,5300,21.62513
1999-02-12,27.125,27.125,26.71875,26.875,8400,21.303106
1999-02-16,27.0,27.3125,27.0,27.125,18500,21.501274
1999-02-17,27.0625,27.25,26.8125,26.84375,12900,21.278335000000002
1999-02-18,26.9375,27.203119,26.765619,27.1875,11500,21.550816
1999-02-19,27.1875,27.375,27.1875,27.265619,13900,21.61274
1999-02-22,27.375,27.859381,27.3125,27.84375,17800,22.071009
1999-02-23,27.90625,27.90625,27.5,27.796881,15000,22.033856
1999-02-24,27.875,27.984381,27.46875,27.46875,28000,21.773756
1999-02-25,27.34375,27.34375,26.875,27.203119,98900,21.563197
1999-02-26,27.3125,27.359381,26.890619,27.28125,10800,21.62513
1999-03-01,27.21875,27.25,26.90625,27.234381,8800,21.587978
1999-03-02,27.40625,27.640619,27.046881,27.21875,11500,21.575587
1999-03-03,27.3125,27.3125,27.0,27.046881,13100,21.439351000000002
1999-03-04,27.4375,27.53125,27.234381,27.53125,10400,21.823298
1999-03-05,27.9375,28.21875,27.84375,28.15625,25400,22.318719
1999-03-08,28.09375,28.1875,27.9375,28.1875,62700,22.34349
1999-03-09,27.84375,28.25,27.8125,27.96875,12200,22.170092999999998
1999-03-10,27.9375,28.21875,27.78125,28.21875,10700,22.368260999999997
1999-03-11,28.21875,28.5625,28.21875,28.40625,23600,22.516887
1999-03-12,28.53125,28.65625,28.25,28.25,24600,22.393032
1999-03-15,28.4375,28.546881,28.21875,28.34375,144800,22.467345
1999-03-16,28.4375,28.4375,28.234381,28.28125,9100,22.417803
1999-03-17,28.1875,28.359381,28.015619,28.125,2700,22.293948
1999-03-18,27.96875,28.515619,27.96875,28.515619,9500,22.603582
1999-03-19,28.53125,28.65625,28.28125,28.390619,6900,22.504497
1999-03-22,28.3125,28.59375,28.28125,28.3125,40900,22.442574
1999-03-23,28.25,28.25,27.4375,27.53125,15400,21.823298
1999-03-24,27.46875,27.65625,27.34375,27.65625,12800,21.922382
1999-03-25,27.90625,28.125,27.75,28.125,9700,22.293948
1999-03-26,27.921881,28.03125,27.84375,27.90625,6600,22.120551000000003
1999-03-29,27.9375,28.328119,27.9375,28.25,8100,22.393032
1999-03-30,28.21875,28.359381,28.09375,28.15625,37300,22.318719
